Date,Cash,MCT,DBS,STEng,SIA,SIA_Relative
2/1/2014,1,0.86953,14.357978,3.335578,9.024154,1
3/1/2014,1,0.854914,14.257222,3.276015,8.815703,0.976900771
6/1/2014,1,0.854914,14.290809,3.301542,8.867814,1.005911156
7/1/2014,1,0.854914,14.3076,3.301542,8.772277,0.989226544
8/1/2014,1,0.86588,14.584685,3.32707,8.885186,1.012871117
9/1/2014,1,0.86588,14.559492,3.293033,8.798333,0.990224965
10/1/2014,1,0.862222,14.584685,3.301542,8.789646,0.999012654
13/1/2014,1,0.862222,14.483925,3.293033,8.746219,0.9950593
14/1/2014,1,0.851264,14.467134,3.293033,8.694107,0.994041768
15/1/2014,1,0.851264,14.559492,3.284523,8.780961,1.009989985
16/1/2014,1,0.851264,14.601475,3.267505,8.754904,0.997032557
17/1/2014,1,0.851264,14.60987,3.276015,8.763589,1.000992015
20/1/2014,1,0.851264,14.61827,3.301542,8.685422,0.991080481
21/1/2014,1,0.854914,14.584685,3.301542,8.685422,1
22/1/2014,1,0.851264,14.399959,3.310051,8.659367,0.997000146
23/1/2014,1,0.847607,14.139672,3.250487,8.607252,0.993981662
24/1/2014,1,0.847607,13.996929,3.250487,8.537767,0.991927156
27/1/2014,1,0.854914,13.912964,3.21645,8.381431,0.981688889
28/1/2014,1,0.858572,13.980135,3.250487,8.450914,1.008290112
29/1/2014,1,0.868918,13.870982,3.250487,8.398803,0.993833685
30/1/2014,1,0.865208,13.829,3.22496,8.329319,0.991726916
3/2/2014,1,0.868918,13.887776,3.182414,8.25115,0.990615199
4/2/2014,1,0.868918,13.686258,3.139869,8.23378,0.997894839
5/2/2014,1,0.868918,13.577106,3.114341,8.225094,0.998945077
6/2/2014,1,0.880063,13.686258,3.173905,8.25115,1.003167867
7/2/2014,1,0.883774,13.728244,3.207942,8.199039,0.993684396
10/2/2014,1,0.868918,13.753431,3.22496,8.225094,1.003177811
11/2/2014,1,0.876346,13.753431,3.241978,8.468287,1.0295672
12/2/2014,1,0.880063,13.778623,3.267505,8.641995,1.020512767
13/2/2014,1,0.880063,13.879377,3.233469,8.494342,0.982914478
14/2/2014,1,0.880063,13.837398,3.22496,8.529084,1.004090017
17/2/2014,1,0.880063,13.929757,3.233469,8.676734,1.017311355
18/2/2014,1,0.880063,13.896172,3.233469,8.633308,0.994995121
19/2/2014,1,0.891201,13.879377,3.22496,8.780961,1.017102714
20/2/2014,1,0.891201,13.954948,3.199433,8.841758,1.00692373
21/2/2014,1,0.887483,14.013723,3.22496,8.833073,0.999017729
24/2/2014,1,0.876346,13.980135,3.233469,8.807017,0.997050177
25/2/2014,1,0.883774,14.013723,3.250487,8.841758,1.003944695
26/2/2014,1,0.887483,13.812209,3.250487,8.807017,0.996070804
27/2/2014,1,0.894911,13.770225,3.250487,8.902557,1.010848168
28/2/2014,1,0.898628,13.870982,3.233469,8.876502,0.997073313
3/3/2014,1,0.891201,13.761828,3.199433,8.763589,0.987279561
4/3/2014,1,0.894911,13.71145,3.199433,8.815703,1.00594665
5/3/2014,1,0.898628,13.610691,3.199433,8.89387,1.008866791
6/3/2014,1,0.898628,13.703053,3.21645,8.97204,1.0087892
7/3/2014,1,0.898628,13.627484,3.21645,8.980726,1.000968119
10/3/2014,1,0.883774,13.518331,3.233469,8.954671,0.997098787
11/3/2014,1,0.887483,13.476348,3.22496,9.032837,1.008729076
12/3/2014,1,0.898628,13.308419,3.22496,8.85913,0.980769386
13/3/2014,1,0.902338,13.266437,3.22496,8.928613,1.007843095
14/3/2014,1,0.891201,13.207661,3.199433,8.85913,0.99221794
17/3/2014,1,0.902338,13.358797,3.22496,8.876502,1.001960915
18/3/2014,1,0.898628,13.30002,3.190923,8.902557,1.002935278
19/3/2014,1,0.894911,13.224453,3.165396,8.815703,0.990243927
20/3/2014,1,0.887483,13.148886,3.148377,8.885186,1.007881731
21/3/2014,1,0.891201,13.291625,3.173905,8.850445,0.996090009
24/3/2014,1,0.894911,13.493141,3.190923,9.05021,1.022571181
25/3/2014,1,0.894911,13.467953,3.207942,8.998096,0.994241681
26/3/2014,1,0.894911,13.593901,3.250487,9.076264,1.008687171
27/3/2014,1,0.894911,13.509934,3.233469,9.137063,1.006698681
28/3/2014,1,0.898628,13.501538,3.250487,9.093637,0.995247269
31/3/2014,1,0.906056,13.577106,3.250487,9.093637,1
1/4/2014,1,0.902338,13.745036,3.258996,9.076264,0.998089543
2/4/2014,1,0.902338,13.778623,3.276015,8.989409,0.990430534
3/4/2014,1,0.913484,13.862587,3.293033,9.015468,1.002898856
4/4/2014,1,0.913484,13.896172,3.293033,9.024154,1.000963455
7/4/2014,1,0.909766,13.829,3.301542,8.945983,0.991337581
8/4/2014,1,0.909766,13.837398,3.335578,9.006782,1.006796235
9/4/2014,1,0.906056,13.85419,3.335578,9.05021,1.0048217
10/4/2014,1,0.906056,13.946551,3.335578,9.093637,1.004798452
11/4/2014,1,0.906056,13.879377,3.31856,8.998096,0.989493643
14/4/2014,1,0.909766,13.963342,3.352597,9.006782,1.000965315
15/4/2014,1,0.920904,14.055706,3.335578,9.076264,1.007714409
16/4/2014,1,0.928331,14.139672,3.361106,9.058894,0.998086217
17/4/2014,1,0.932049,14.190049,3.361106,8.937299,0.98657728
21/4/2014,1,0.928331,14.156463,3.369615,8.928613,0.999028118
22/4/2014,1,0.932049,14.190049,3.378124,8.980726,1.005836629
23/4/2014,1,0.932049,14.106085,3.378124,8.989409,1.000966848
24/4/2014,1,0.954324,14.190049,3.395143,9.05021,1.006763626
25/4/2014,1,0.946897,14.106085,3.378124,9.015468,0.996161194
28/4/2014,1,0.950615,14.038911,3.292166,8.902557,0.987475858
29/4/2014,1,0.946716,14.139672,3.309358,8.989409,1.009755849
30/4/2014,1,0.95426,14.223636,3.283571,9.015468,1.002898856
2/5/2014,1,0.969342,14.416756,3.317954,9.076264,1.006743521
5/5/2014,1,0.969342,14.416756,3.300762,8.945983,0.985645966
6/5/2014,1,0.969342,14.383168,3.309358,8.937299,0.999029285
7/5/2014,1,0.973118,14.290809,3.300762,8.928613,0.999028118
8/5/2014,1,0.988207,14.315995,3.317954,8.902557,0.997081742
9/5/2014,1,0.99952,14.341183,3.300762,8.867814,0.996097413
12/5/2014,1,0.988207,14.230079,3.257784,8.85913,0.999020728
14/5/2014,1,0.991975,14.366823,3.283571,8.89387,1.003921378
15/5/2014,1,1.003288,14.409557,3.274975,8.902557,1.00097674
16/5/2014,1,1.003288,14.401013,3.240592,8.867814,0.996097413
19/5/2014,1,1.010832,14.401013,3.249188,8.919927,1.005876646
20/5/2014,1,1.003288,14.392468,3.249188,8.850445,0.992210474
21/5/2014,1,0.99952,14.52921,3.249188,8.945983,1.010794711
22/5/2014,1,1.007064,14.495024,3.249188,8.928613,0.998058346
23/5/2014,1,1.003288,14.520664,3.266379,8.954671,1.002918482
26/5/2014,1,1.007064,14.512118,3.266379,8.945983,0.99902978
27/5/2014,1,1.003288,14.418105,3.274975,8.989409,1.004854246
28/5/2014,1,1.010832,14.409557,3.257784,8.980726,0.999034086
29/5/2014,1,1.007064,14.512118,3.292166,9.058894,1.008703973
